datetime,site_name,pm25_value
2025-07-11 11:00:00+00:00,Arepo (Ogun State),24.02
2025-07-11 12:00:00+00:00,Arepo (Ogun State),23.96
2025-07-11 13:00:00+00:00,Arepo (Ogun State),24.08
2025-07-11 14:00:00+00:00,Arepo (Ogun State),23.21
2025-07-11 15:00:00+00:00,Arepo (Ogun State),23.38
2025-07-11 16:00:00+00:00,Arepo (Ogun State),19.25
2025-07-11 17:00:00+00:00,Arepo (Ogun State),18.35
2025-07-11 18:00:00+00:00,Arepo (Ogun State),17.53
2025-07-11 19:00:00+00:00,Arepo (Ogun State),22.65
2025-07-11 20:00:00+00:00,Arepo (Ogun State),20.57
2025-07-11 21:00:00+00:00,Arepo (Ogun State),18.1
2025-07-11 22:00:00+00:00,Arepo (Ogun State),19.48
2025-07-11 23:00:00+00:00,Arepo (Ogun State),21.41
2025-07-12 00:00:00+00:00,Arepo (Ogun State),20.14
2025-07-12 01:00:00+00:00,Arepo (Ogun State),19.4
2025-07-12 02:00:00+00:00,Arepo (Ogun State),21.92
2025-07-12 03:00:00+00:00,Arepo (Ogun State),22.01
2025-07-12 04:00:00+00:00,Arepo (Ogun State),21.17
2025-07-12 05:00:00+00:00,Arepo (Ogun State),21.15
2025-07-12 06:00:00+00:00,Arepo (Ogun State),20.04
2025-07-12 07:00:00+00:00,Arepo (Ogun State),26.18
2025-07-12 08:00:00+00:00,Arepo (Ogun State),24.93
2025-07-12 09:00:00+00:00,Arepo (Ogun State),26.73
2025-07-12 10:00:00+00:00,Arepo (Ogun State),23.13
2025-07-12 11:00:00+00:00,Arepo (Ogun State),25.09
2025-07-12 12:00:00+00:00,Arepo (Ogun State),25.39
2025-07-12 13:00:00+00:00,Arepo (Ogun State),23.44
2025-07-12 14:00:00+00:00,Arepo (Ogun State),19.68
2025-07-12 15:00:00+00:00,Arepo (Ogun State),19.28
2025-07-12 16:00:00+00:00,Arepo (Ogun State),22.09
2025-07-12 17:00:00+00:00,Arepo (Ogun State),19.74
2025-07-12 18:00:00+00:00,Arepo (Ogun State),19.2
2025-07-12 19:00:00+00:00,Arepo (Ogun State),22.82
2025-07-12 20:00:00+00:00,Arepo (Ogun State),23.24
2025-07-12 21:00:00+00:00,Arepo (Ogun State),21.08
2025-07-12 22:00:00+00:00,Arepo (Ogun State),18.9
2025-07-12 23:00:00+00:00,Arepo (Ogun State),18.4
2025-07-13 00:00:00+00:00,Arepo (Ogun State),18.02
2025-07-13 01:00:00+00:00,Arepo (Ogun State),17.76
2025-07-13 02:00:00+00:00,Arepo (Ogun State),15.16
2025-07-13 03:00:00+00:00,Arepo (Ogun State),15.81
2025-07-13 04:00:00+00:00,Arepo (Ogun State),16.36
2025-07-13 05:00:00+00:00,Arepo (Ogun State),17.5
2025-07-13 06:00:00+00:00,Arepo (Ogun State),19.23
2025-07-13 07:00:00+00:00,Arepo (Ogun State),22.3
2025-07-13 08:00:00+00:00,Arepo (Ogun State),27.79
2025-07-13 09:00:00+00:00,Arepo (Ogun State),22.36
2025-07-13 10:00:00+00:00,Arepo (Ogun State),18.65
2025-07-13 11:00:00+00:00,Arepo (Ogun State),18.45
2025-07-13 12:00:00+00:00,Arepo (Ogun State),19.64
2025-07-13 13:00:00+00:00,Arepo (Ogun State),18.16
2025-07-13 14:00:00+00:00,Arepo (Ogun State),17.67
2025-07-13 15:00:00+00:00,Arepo (Ogun State),18.35
2025-07-13 16:00:00+00:00,Arepo (Ogun State),18.33
2025-07-13 17:00:00+00:00,Arepo (Ogun State),17.73
2025-07-13 18:00:00+00:00,Arepo (Ogun State),24.76
2025-07-13 19:00:00+00:00,Arepo (Ogun State),20.61
2025-07-13 20:00:00+00:00,Arepo (Ogun State),20.86
2025-07-13 21:00:00+00:00,Arepo (Ogun State),24.78
2025-07-13 22:00:00+00:00,Arepo (Ogun State),26.17
2025-07-13 23:00:00+00:00,Arepo (Ogun State),35.61
2025-07-14 00:00:00+00:00,Arepo (Ogun State),35.9
2025-07-14 01:00:00+00:00,Arepo (Ogun State),36.21
2025-07-14 02:00:00+00:00,Arepo (Ogun State),37.74
2025-07-14 03:00:00+00:00,Arepo (Ogun State),38.15
2025-07-14 04:00:00+00:00,Arepo (Ogun State),30.72
2025-07-14 05:00:00+00:00,Arepo (Ogun State),29.96
2025-07-14 06:00:00+00:00,Arepo (Ogun State),28.28
2025-07-14 07:00:00+00:00,Arepo (Ogun State),31.7
2025-07-14 08:00:00+00:00,Arepo (Ogun State),33.62
2025-07-14 09:00:00+00:00,Arepo (Ogun State),33.22
2025-07-14 10:00:00+00:00,Arepo (Ogun State),31.19
2025-07-14 11:00:00+00:00,Arepo (Ogun State),27.09
2025-07-14 12:00:00+00:00,Arepo (Ogun State),26.1
2025-07-14 13:00:00+00:00,Arepo (Ogun State),27.5
2025-07-14 14:00:00+00:00,Arepo (Ogun State),26.17
2025-07-14 15:00:00+00:00,Arepo (Ogun State),25.71
2025-07-14 16:00:00+00:00,Arepo (Ogun State),26.77
2025-07-14 17:00:00+00:00,Arepo (Ogun State),28.15
2025-07-14 18:00:00+00:00,Arepo (Ogun State),34.18
2025-07-14 19:00:00+00:00,Arepo (Ogun State),34.0
2025-07-14 20:00:00+00:00,Arepo (Ogun State),40.71
2025-07-14 21:00:00+00:00,Arepo (Ogun State),33.47
